식당(ID),식당명,지점명,지역명,네이버평점
146629,경남식당,,강화군,3.5
146635,해성식당,,강화군,4.26
146640,연안정육식당,,강화군,4.42
146646,삼호정,,강화군,4.33
146664,산까치식당,,강화군,4.33
146668,솔밭식당,,강화군,4.52
146672,삼산식당,,강화군,3.9
146711,녹원연탄구이,,강화군,4.39
146715,룩만남,,강화군,
146717,수도식당,,강화군,
146721,알미골,,강화군,4.21
146741,맥스그룹(MAX Group),,강화군,
146746,큰엄마네감자탕,,강화군,3.85
146751,한일정,,강화군,4.54
146757,푸른언덕,,강화군,4.3
146763,마라 Kim(마라킴),,강화군,
146768,진해식당,,강화군,4.18
146774,평양순대국,,강화군,4.39
146782,강화손두부,,강화군,4.58
146786,은지네식당,,강화군,4.38
146789,바다식당,,강화군,
146794,고향산천,,강화군,4.13
146797,꽃동산식당,,강화군,
146800,파리바게뜨,,강화군,4.25
146805,추억만들기,,강화군,4.27
146810,정통분식,,강화군,4.4
146816,부일식당,,강화군,4.46
146857,섬고기,,강화군,4.86
146861,바우회집,,강화군,
146867,수라면옥,,강화군,4.41
146887,천수면,,강화군,4.28
146897,누이네집,,강화군,5
146901,옥림가든,,강화군,
146927,밤나무집,,강화군,3.8
146939,석천돌솥밥,,강화군,4.58
146945,불만난쭈꾸미와 추어탕,,강화군,3.93
146949,오리산장,,강화군,4.5
146953,통나무가든참숯불장어,,강화군,4.31
146960,나주식당,,강화군,4.2
146982,미락횟집,,강화군,4.36
147017,낙원식당,,강화군,
147020,볼음식당,,강화군,
147025,제주은갈치,,강화군,4.7
147030,옛골영수네,,강화군,
147034,일미집,,강화군,4.5
147036,강화한식부페,,강화군,4.83
147040,징기스칸치킨호프,,강화군,
147045,청사포,,강화군,4.25
147080,동문식당,,강화군,4.23
147095,청기와식당,,강화군,4
147099,강화맛집,,강화군,4.32
147112,비치횟집,,강화군,4.25
147114,등대횟집,,강화군,4.25
147118,서울횟집,,강화군,4.59
147123,맛모아식당,,강화군,4.5
147128,멕시칸치킨,강화신문리점,강화군,4.67
147140,강화주당,,강화군,
147144,무지개분식,,강화군,
147150,으뜸분식,,강화군,4.38
147153,충남식당,,강화군,4.09
147158,코리아호프,,강화군,4.22
147161,대영식당,,강화군,4.56
147171,밥먹고술먹고,,강화군,
147175,섬메기매운탕,,강화군,4.2
147179,벌교식당,,강화군,4.25
147183,온돌집,,강화군,4.5
147187,만선꽃게랑낙지,,강화군,4.43
147209,온수리순대국밥,,강화군,
147212,초가삼간 보스턴수제버거,,강화군,
147219,마니산단골식당,,강화군,4.51
147224,선창횟집,,강화군,3.82
147229,강화소루지갯벌장어양식장,1호점,강화군,4.05
147235,강화횟집,,강화군,4.31
147239,고구촌,,강화군,
147244,해명산두부촌,,강화군,4.35
147248,향촌삼계탕,,강화군,4.33
147256,청사초롱,,강화군,4.5
147260,고려족발,,강화군,4.5
147264,도드람한마당,,강화군,4.44
147267,남문한식,,강화군,4.17
147274,할머니집,,강화군,
147279,금문도,,강화군,4.77
147297,삼거리설렁탕,,강화군,4.27
147304,명태어장,강화점,강화군,4.52
